             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             62835    normal dip_14_3   himabk  R    2:16:16      1 c31-6
             62706    normal dip_13_3   himabk  R    2:16:59      1 c38-1
             62704    normal dip_12_3   himabk  R    2:17:43      1 c38-7
             62702    normal dipping_   himabk  R    2:18:47      1 c38-6
             62680    normal dipping_   himabk  R    2:26:06      1 c22-1
             62588  gaussian 1CM_syn_ morellog  R    3:11:27      2 c47-3,c48-4
             62522    normal     bash   mifapw  R    3:44:33      1 c25-4
             62479  gaussian Ni-AriPr  ainaran  R    3:58:06      1 c31-5
             62474  gaussian Ni-Br-cr  ainaran  R    4:02:37      1 c24-4
             62468  gaussian  PNPAuTS javiergr  R    4:03:29      1 c51-7
             62467  gaussian Ni3-Cl2-  ainaran  R    4:04:05      1 c56-8
             62463  gaussian Ni-Cl-ps  ainaran  R    4:05:38      1 c54-8
             62442    normal      zsh     stig  R    4:20:33      1 c56-6
             62267  gaussian sklcasLB valienpo  R    5:21:24      4 c55-[6-7],c56-[3-4]
             62215  gaussian sklcasLA valienpo  R    6:04:04      4 c29-4,c30-8,c31-[1-2]
             61552  gaussian AuNHC_i_ volodyml  R   15:22:14      1 c39-6
             61550  gaussian AuNHC_i_ volodyml  R   15:22:51      1 c62-6
             52409  gaussian sklaomGS valienpo  R 6-12:45:33      4 c34-[4-5],c35-1,c36-3
             56339  gaussian sklcasGS valienpo  R 4-22:53:45      4 c31-[7-8],c32-[1-2]
             60601 multinode  vasprun dongdonz  R 1-20:34:46      4 c43-[6-7],c44-[1-2]
             60602 multinode  vasprun dongdonz  R 1-20:34:46      4 c44-[3,5-7]
             60599 multinode  vasprun dongdonz  R 1-20:35:11      4 c40-2,c41-[2,4,8]
             60600 multinode  vasprun dongdonz  R 1-20:35:11      4 c42-[1,3-4],c43-4
             60597 multinode  vasprun dongdonz  R 1-20:35:37      4 c27-3,c28-8,c29-[6-7]
             60598 multinode  vasprun dongdonz  R 1-20:35:37      4 c39-[1-2,5,7]
             50615 multinode  vs.q69n   davide  R 7-00:29:01      4 c53-[4,7-8],c54-1
             50341 multinode  vs.q69n   davide  R 7-02:50:42      4 c62-[3-5,8]
             49738 multinode  vs.q69n   davide  R 7-03:40:21      4 c51-[5,8],c52-[1,5]
             49739 multinode  vs.q69n   davide  R 7-03:40:21      4 c52-[7-8],c53-[1,3]
             62367    normal spark-wo metapipe  R    4:54:19      1 c31-3
             62368    normal spark-wo metapipe  R    4:54:19      1 c31-4
             62369    normal spark-wo metapipe  R    4:54:19      1 c39-8
             62370    normal spark-wo metapipe  R    4:54:19      1 c42-7
             62371    normal spark-wo metapipe  R    4:54:19      1 c43-8
             62372    normal spark-wo metapipe  R    4:54:19      1 c25-5
             62373    normal spark-wo metapipe  R    4:54:19      1 c25-6
             62374    normal spark-wo metapipe  R    4:54:19      1 c25-7
             62375    normal spark-wo metapipe  R    4:54:19      1 c25-8
             62376    normal spark-wo metapipe  R    4:54:19      1 c26-1
             62377    normal spark-wo metapipe  R    4:54:19      1 c26-3
             62378    normal spark-wo metapipe  R    4:54:19      1 c26-5
             62379    normal spark-wo metapipe  R    4:54:19      1 c26-8
             62380    normal spark-wo metapipe  R    4:54:19      1 c45-1
             62381    normal spark-wo metapipe  R    4:54:19      1 c45-2
             62382    normal spark-wo metapipe  R    4:54:19      1 c45-6
             62383    normal spark-wo metapipe  R    4:54:19      1 c45-7
             62384    normal spark-wo metapipe  R    4:54:19      1 c46-1
             62385    normal spark-wo metapipe  R    4:54:19      1 c46-2
             62386    normal spark-wo metapipe  R    4:54:19      1 c46-3
             62408 singlenod Tinker-s    stajv  R    4:45:20      1 c38-8
